city,bedrooms,city_center_dist_km,daily_price,weekends
London,1,4.672,743.67,0
London,1,4.388,399.59,0
Amsterdam,1,1.517,602.25,1
London,2,5.813,385.24,1
Amsterdam,1,2.587,653.81,0
London,1,0.824,898.42,0
London,1,8.636,439.57,0
Barcelona,3,3.058,601.62,0
London,0,4.968,341.96,0
London,1,4.917,451.09,1
Amsterdam,1,3.737,549.53,0
London,0,4.185,353.25,1
London,0,3.576,324.09,0
Barcelona,3,3.564,312.57,0
Amsterdam,1,2.905,368.85,1
London,0,2.151,246.24,0
London,1,6.446,258.24,0
London,2,5.452,393.24,1
London,1,0.294,460.26,1
London,0,3.617,310.92,0
Amsterdam,1,2.733,332.06,1
London,1,3.709,494.6,1
London,0,2.491,391.82,0
Amsterdam,1,3.003,1044.69,0
Amsterdam,1,1.705,394.39,1
London,1,3.766,422.63,1
London,1,4.25,293.75,1
Barcelona,2,2.568,381.92,0
London,1,4.561,355.61,1
London,2,5.421,775.89,0
London,1,3.765,400.53,0
London,1,4.229,367.37,1
Amsterdam,0,2.527,390.88,0
London,0,2.266,288.58,1
London,1,3.388,296.81,1
London,1,4.602,405.94,1
Barcelona,2,1.303,469.66,1
Amsterdam,2,4.094,675.84,0
London,1,4.551,445.92,0
London,2,2.389,1122.56,1
Barcelona,1,1.06,469.66,0
London,1,5.584,270.7,1
London,2,6.774,425.46,1
London,1,6.894,318.21,1
London,1,1.267,463.09,1
Amsterdam,1,1.632,675.84,1
Amsterdam,2,0.938,1112.41,1
London,0,4.82,612.2,1
London,3,9.373,591.27,1
London,1,8.849,218.96,1
London,1,4.406,418.64,0
London,1,5.761,523.77,1
London,1,4.189,873.49,1
London,1,7.517,763.89,1
London,1,0.844,652.88,0
London,2,4.724,756.6,1
London,1,8.252,297.04,0
Amsterdam,2,0.938,1112.18,0
London,1,2.63,744.14,0
London,0,4.206,219.67,0
London,1,8.437,283.4,1
London,1,2.254,418.64,0
Amsterdam,2,4.934,700.44,1
London,2,4.904,448.27,0
London,2,1.789,1530.85,1
London,0,4.691,225.08,1
London,1,2.776,461.91,0
London,1,8.53,374.89,1
Barcelona,3,0.749,567.18,0
London,1,3.57,720.62,1
London,2,2.051,633.83,1
London,1,3.314,656.65,0
Barcelona,3,1.06,990.53,0
London,1,5.417,563.28,1
Barcelona,0,1.128,468.73,1
Amsterdam,1,2.285,454.85,0
London,0,3.212,310.68,1
London,1,3.977,437.22,0
London,1,3.448,466.61,1
London,2,7.182,464.03,1
London,1,10.05,142.29,0
Amsterdam,1,3.928,540.62,1
Amsterdam,1,1.748,765.82,1
London,1,0.31,800.82,0
London,2,2.309,688.4,0
Barcelona,2,3.834,335.61,0
London,2,4.236,721.56,1
Amsterdam,1,4.303,497.5,1
Amsterdam,1,2.174,538.51,1
London,1,3.345,381.71,0
London,2,4.934,643.01,1
Amsterdam,2,3.995,721.53,0
London,1,7.287,166.75,1
Barcelona,2,0.602,444.06,0
London,1,4.346,359.37,0
Amsterdam,2,7.726,361.12,0
London,2,2.412,412.29,0
London,0,3.361,255.89,0
London,2,4.336,377.71,1
Amsterdam,0,1.517,602.02,0
London,1,4.226,233.07,0
London,2,4.153,679.7,0
Amsterdam,0,3.294,571.32,0
London,1,2.586,412.29,1
London,2,6.48,541.17,1
London,1,5.573,350.43,1
London,2,17.005,401.7,0
London,0,3.935,369.72,1
London,1,3.972,346.43,0
Amsterdam,2,0.527,1450.33,0
London,1,6.805,350.67,1
Barcelona,2,3.086,382.15,0
London,1,4.438,399.59,1
London,1,3.872,391.35,0
Amsterdam,1,3.224,560.31,1
London,1,6.442,371.13,1
London,1,1.136,575.51,1
London,2,4.21,694.28,1
London,1,5.379,381.71,1
London,1,8.993,283.64,0
London,2,2.282,700.16,0
London,1,4.639,360.78,1
Barcelona,3,2.294,636.77,0
London,1,2.356,394.41,0
Amsterdam,1,1.34,371.19,0
London,1,4.961,863.38,1
London,1,2.68,596.44,0
London,0,4.304,277.05,0
London,1,7.751,257.77,0
Barcelona,2,3.342,613.49,0
London,1,4.466,386.65,1
London,2,8.547,478.61,1
Amsterdam,1,1.852,393.46,0
London,1,3.048,709.09,0
Amsterdam,3,4.031,649.12,1
London,1,1.493,494.6,1
London,2,3.987,671.23,0
London,0,4.177,219.9,0
Barcelona,2,3.342,914.19,1
London,1,4.625,320.33,0
London,1,4.777,452.74,1
London,0,1.862,442.63,0
London,2,4.028,708.86,1
Barcelona,1,1.934,457.09,0
London,1,4.906,333.5,1
Amsterdam,1,1.063,749.42,0
Amsterdam,2,1.976,1167.48,1
London,1,4.03,343.14,0
London,1,4.828,297.04,0
London,1,0.346,773.54,1
Barcelona,1,0.789,372.61,1
Amsterdam,1,0.57,550.47,0
London,2,0.566,659.71,1
London,2,3.72,809.29,1
London,2,8.701,426.63,1
Amsterdam,0,1.904,387.13,0
London,0,7.302,198.5,1
London,2,2.784,788.82,1
Amsterdam,1,3.84,276.29,1
Amsterdam,1,4.456,553.04,1
London,2,4.052,575.51,0
London,2,4.153,698.51,1
Amsterdam,1,1.0,713.8,0
London,1,1.189,657.12,1
London,2,3.932,427.57,0
London,2,4.934,640.42,0
London,1,3.538,349.02,1
London,2,2.771,787.88,0
Amsterdam,2,2.702,780.35,1
Amsterdam,1,4.084,417.83,1
London,1,3.678,510.12,0
London,2,3.473,508.95,1
London,2,8.913,425.22,1
London,1,9.323,557.16,0
London,1,0.127,599.26,0
London,0,4.817,567.51,1
Amsterdam,1,4.047,282.85,0
Amsterdam,1,2.25,520.0,1
London,1,3.16,434.16,1
Barcelona,2,1.188,439.87,0
Barcelona,2,0.582,619.08,0
Barcelona,2,1.701,449.41,0
Amsterdam,2,4.934,700.44,0
Barcelona,2,1.269,790.37,0
London,2,2.758,734.5,0
London,2,3.56,837.51,1
Amsterdam,3,3.197,1137.02,1
London,1,0.675,452.27,0
London,0,2.816,336.32,1
