city,bedrooms,city_center_dist_km,metro_dist_km,daily_price,weekends
Amsterdam,1,4.763,0.852,319.64,1
Amsterdam,1,5.748,3.652,348.0,1
Amsterdam,2,0.385,0.44,482.98,1
Amsterdam,1,0.545,0.319,485.55,1
Amsterdam,3,1.687,1.458,2771.54,1
Amsterdam,2,3.719,1.196,1001.8,1
Amsterdam,1,1.808,1.902,393.46,1
Amsterdam,1,3.142,0.924,287.77,1
Amsterdam,1,1.01,0.917,909.47,1
Amsterdam,1,2.183,1.59,393.46,1
Amsterdam,1,2.933,0.628,553.04,1
Amsterdam,1,1.305,1.342,553.04,1
Amsterdam,1,2.173,0.63,682.16,1
Amsterdam,1,7.305,3.721,233.64,1
Amsterdam,1,1.328,0.119,368.85,1
Amsterdam,1,1.792,1.232,497.5,1
Amsterdam,2,0.439,0.652,1106.32,1
Amsterdam,1,1.814,1.526,612.1,1
Amsterdam,3,2.188,1.53,858.15,1
Amsterdam,1,2.491,1.332,332.06,1
Amsterdam,1,4.231,2.687,203.88,1
Amsterdam,1,4.181,2.808,269.02,1
Amsterdam,1,4.127,0.839,295.27,1
Amsterdam,2,2.162,1.424,1096.48,1
Amsterdam,1,1.126,1.121,572.73,1
Amsterdam,3,3.364,0.697,599.91,1
Amsterdam,2,3.856,0.728,602.25,1
Amsterdam,3,2.989,1.75,1609.92,1
Amsterdam,0,1.801,0.41,331.83,1
Amsterdam,2,2.855,1.703,796.52,1
Amsterdam,1,6.412,4.143,540.62,1
Amsterdam,1,0.54,0.339,344.48,1
Amsterdam,1,0.514,0.277,479.46,1
Amsterdam,2,3.695,0.398,716.61,1
Amsterdam,0,1.098,0.957,350.34,1
Amsterdam,1,4.025,0.341,378.69,1
Amsterdam,0,4.224,1.519,299.02,1
Amsterdam,1,1.494,1.635,381.04,1
Amsterdam,1,3.019,0.792,430.25,1
Amsterdam,1,0.363,0.21,344.48,1
Amsterdam,1,5.037,1.247,406.81,1
Amsterdam,2,2.148,1.664,749.65,1
Amsterdam,1,0.375,0.19,491.88,1
Amsterdam,1,0.36,0.224,344.48,1
Amsterdam,5,1.396,0.857,817.14,1
Amsterdam,1,1.483,0.536,420.41,1
Amsterdam,1,3.529,0.206,255.67,1
Amsterdam,2,1.506,0.176,798.87,1
Amsterdam,1,10.907,0.645,368.62,1
Amsterdam,3,1.267,1.158,848.08,1
Amsterdam,2,2.376,0.214,768.17,1
Amsterdam,1,0.975,1.105,469.62,1
Amsterdam,1,0.227,0.46,613.27,1
Amsterdam,1,5.839,3.833,249.57,1
Amsterdam,1,3.03,0.911,430.25,1
Amsterdam,1,2.804,1.706,403.07,1
Amsterdam,1,0.493,0.122,442.67,1
Amsterdam,2,0.699,0.609,977.43,1
Amsterdam,2,3.845,0.697,522.34,1
Amsterdam,3,1.503,0.212,1179.9,1
Amsterdam,1,2.573,1.472,583.74,1
Amsterdam,1,0.945,0.727,374.94,1
Amsterdam,1,3.893,0.657,372.37,1
Amsterdam,1,1.377,0.078,479.23,1
Amsterdam,1,2.285,1.828,454.85,1
Amsterdam,1,5.249,1.447,614.44,1
Amsterdam,1,1.425,0.133,493.99,1
Amsterdam,1,2.013,1.804,602.02,1
Amsterdam,1,1.632,1.76,675.84,1
Amsterdam,1,9.336,0.38,399.55,1
Amsterdam,1,0.353,0.496,368.62,1
Amsterdam,1,4.688,3.632,209.03,1
Amsterdam,1,4.612,3.626,209.03,1
Amsterdam,1,1.733,0.504,640.45,1
Amsterdam,1,11.196,0.429,165.91,1
Amsterdam,1,4.687,3.596,209.03,1
Amsterdam,1,1.12,0.382,934.08,1
Amsterdam,1,2.479,1.333,234.57,1
Amsterdam,1,6.059,1.748,227.31,1
Amsterdam,1,0.792,0.734,489.3,1
Amsterdam,1,0.925,0.782,410.56,1
Amsterdam,2,5.902,1.941,987.04,1
Amsterdam,1,7.018,0.218,217.7,1
Amsterdam,2,0.374,0.168,946.5,1
Amsterdam,2,0.75,0.809,1557.43,1
Amsterdam,1,3.401,1.513,317.06,1
Amsterdam,3,10.059,0.22,594.52,1
Amsterdam,2,0.729,0.449,1290.51,1
Amsterdam,2,2.847,0.727,1043.52,1
Amsterdam,1,3.003,1.634,1044.69,1
Amsterdam,1,3.571,2.62,310.97,1
Amsterdam,1,4.665,2.977,295.27,1
Amsterdam,1,2.374,0.363,414.31,1
Amsterdam,0,4.157,0.101,307.22,1
Amsterdam,4,1.615,1.403,3005.41,1
Amsterdam,1,3.781,0.92,539.45,1
Amsterdam,1,2.319,0.129,491.65,1
Amsterdam,2,1.931,1.586,1376.75,1
Amsterdam,1,5.039,1.73,415.49,1
Amsterdam,1,1.975,0.228,467.04,1
Amsterdam,2,7.821,0.35,630.38,1
Amsterdam,1,3.599,2.46,251.92,1
Amsterdam,1,1.499,0.232,405.88,1
Amsterdam,0,3.717,1.557,264.34,1
Amsterdam,1,1.811,0.52,897.05,1
Amsterdam,1,0.654,0.351,295.03,1
Amsterdam,1,1.407,1.381,467.04,1
Amsterdam,0,2.678,1.844,744.73,1
Amsterdam,1,2.062,1.558,275.35,1
Amsterdam,2,1.792,1.875,568.98,1
Amsterdam,1,3.343,0.647,424.16,1
Amsterdam,1,1.227,0.487,675.84,1
Amsterdam,2,2.619,0.431,909.47,1
Amsterdam,1,2.851,1.072,264.1,1
Amsterdam,1,10.723,0.455,196.61,1
Amsterdam,2,4.934,1.014,700.44,1
Amsterdam,1,3.816,2.642,307.22,1
Amsterdam,1,3.372,2.139,675.84,1
Amsterdam,1,3.141,2.27,516.25,1
Amsterdam,1,1.584,1.198,496.8,1
Amsterdam,1,1.681,0.204,442.67,1
Amsterdam,2,2.426,0.236,1155.53,1
Amsterdam,3,1.248,0.94,1473.77,1
Amsterdam,1,2.87,0.67,780.35,1
Amsterdam,1,7.723,3.246,276.52,1
Amsterdam,2,1.777,1.595,587.73,1
Amsterdam,1,2.306,1.514,430.25,1
Amsterdam,3,2.065,0.126,1175.22,1
Amsterdam,2,0.218,0.259,798.63,1
Amsterdam,3,0.724,0.186,3638.13,1
Amsterdam,1,2.01,1.475,479.46,1
Amsterdam,1,1.155,1.285,934.08,1
Amsterdam,1,0.226,0.443,484.15,1
Amsterdam,1,1.061,0.741,706.77,1
Amsterdam,2,1.838,1.584,639.05,1
Amsterdam,2,1.089,1.213,639.05,1
Amsterdam,2,1.389,0.127,1020.08,1
Amsterdam,2,0.711,0.896,1192.32,1
Amsterdam,1,3.418,1.174,798.63,1
Amsterdam,3,3.386,0.859,952.83,1
Amsterdam,1,3.681,0.626,614.44,1
Amsterdam,1,2.061,1.062,802.38,1
Amsterdam,3,3.769,1.527,1069.29,1
Amsterdam,1,4.775,0.992,265.51,1
Amsterdam,2,5.903,2.095,328.31,1
Amsterdam,2,0.535,0.359,1163.26,1
Amsterdam,1,2.407,1.344,280.27,1
Amsterdam,1,2.208,1.798,553.04,1
Amsterdam,1,1.101,0.352,522.34,1
Amsterdam,1,2.379,0.373,614.44,1
Amsterdam,1,3.604,0.567,663.65,1
Amsterdam,1,3.019,0.525,279.1,1
Amsterdam,1,0.763,0.74,1044.69,1
Amsterdam,1,4.137,2.841,384.79,1
Amsterdam,1,0.906,0.695,589.83,1
Amsterdam,1,3.637,0.44,405.88,1
Amsterdam,3,0.971,1.096,2556.89,1
Amsterdam,1,2.12,1.509,985.63,1
Amsterdam,0,1.938,1.573,1214.12,1
Amsterdam,1,3.711,0.222,305.81,1
Amsterdam,1,4.719,0.732,297.38,1
Amsterdam,1,4.456,0.413,553.04,1
Amsterdam,2,4.019,0.614,1229.11,1
Amsterdam,1,2.43,0.313,251.92,1
Amsterdam,1,0.958,0.989,562.89,1
Amsterdam,2,2.219,0.153,903.62,1
Amsterdam,1,1.259,1.135,244.42,1
Amsterdam,1,10.853,0.764,221.45,1
Amsterdam,1,0.559,0.587,482.98,1
Amsterdam,1,3.313,0.517,436.34,1
Amsterdam,1,1.133,0.42,835.89,1
Amsterdam,2,2.379,0.482,833.55,1
Amsterdam,1,1.591,1.517,424.16,1
Amsterdam,1,2.178,1.397,602.25,1
Amsterdam,2,0.694,0.61,1425.96,1
Amsterdam,1,1.043,1.106,445.95,1
Amsterdam,1,2.474,1.5,267.85,1
Amsterdam,0,2.497,0.568,356.43,1
Amsterdam,4,2.529,1.473,1413.54,1
Amsterdam,1,4.774,0.282,479.46,1
Amsterdam,3,1.05,0.806,1473.77,1
Amsterdam,1,3.146,0.665,335.58,1
Amsterdam,1,1.75,1.636,623.11,1
Amsterdam,0,5.213,3.833,344.48,1
Amsterdam,1,2.211,1.206,290.11,1
Amsterdam,1,2.643,1.786,725.28,1
Amsterdam,1,1.018,0.86,1106.32,1
Amsterdam,1,2.533,0.344,438.92,1
Amsterdam,1,2.37,1.856,349.17,1
Amsterdam,1,2.446,0.627,737.23,1
Amsterdam,1,2.895,1.769,307.22,1
Amsterdam,3,1.512,0.194,1997.52,1
Amsterdam,1,4.027,0.872,638.81,1
Amsterdam,3,3.197,0.541,1137.02,1
Amsterdam,1,11.187,0.424,405.88,1
Amsterdam,2,3.761,2.305,749.65,1
Amsterdam,0,0.831,0.451,453.45,1
Amsterdam,0,0.744,0.512,474.3,1
Amsterdam,1,2.239,0.234,307.22,1
Amsterdam,2,1.282,1.198,762.07,1
Amsterdam,1,1.347,0.617,818.55,1
Amsterdam,1,1.591,1.514,649.12,1
Amsterdam,0,2.138,0.058,420.41,1
Amsterdam,0,6.373,3.656,206.45,1
Amsterdam,1,0.903,0.974,651.23,1
Amsterdam,1,3.247,0.733,897.05,1
Amsterdam,1,1.487,1.526,405.88,1
Amsterdam,1,10.899,0.2,216.53,1
Amsterdam,1,0.817,0.943,442.67,1
Amsterdam,1,3.254,0.815,325.73,1
Amsterdam,2,0.613,0.626,1352.14,1
Amsterdam,2,6.805,0.418,583.98,1
Amsterdam,3,4.056,2.144,688.02,1
Amsterdam,1,7.298,3.03,298.78,1
Amsterdam,1,2.853,1.15,405.88,1
Amsterdam,1,4.173,0.358,282.85,1
Amsterdam,2,9.461,0.52,645.37,1
Amsterdam,0,3.876,0.534,303.47,1
Amsterdam,1,1.37,0.149,497.74,1
Amsterdam,1,1.158,0.443,654.98,1
Amsterdam,1,2.403,1.511,436.34,1
Amsterdam,1,4.048,0.125,325.03,1
Amsterdam,2,3.92,0.197,582.8,1
Amsterdam,2,3.062,0.457,491.65,1
Amsterdam,2,4.784,0.462,626.63,1
Amsterdam,1,2.082,2.005,442.43,1
Amsterdam,1,7.174,3.005,262.93,1
Amsterdam,1,5.244,0.474,491.88,1
Amsterdam,1,2.946,0.881,480.63,1
Amsterdam,3,2.532,1.951,768.17,1
Amsterdam,1,1.429,1.202,2501.11,1
Amsterdam,1,1.444,1.555,489.3,1
Amsterdam,1,1.072,0.949,774.26,1
Amsterdam,0,1.732,0.107,436.11,1
Amsterdam,0,1.764,0.13,436.11,1
Amsterdam,3,4.193,0.153,940.17,1
Amsterdam,1,0.346,0.42,774.26,1
Amsterdam,1,9.23,0.295,221.22,1
Amsterdam,1,2.075,1.953,482.74,1
Amsterdam,1,2.123,0.234,330.42,1
Amsterdam,1,4.111,1.043,261.99,1
Amsterdam,3,1.163,0.91,2458.46,1
Amsterdam,1,2.034,1.313,410.33,1
Amsterdam,1,2.67,0.624,771.92,1
Amsterdam,2,7.081,3.196,516.02,1
Amsterdam,1,1.245,0.497,651.23,1
Amsterdam,1,1.21,0.987,531.95,1
Amsterdam,2,6.329,4.412,491.65,1
Amsterdam,3,0.948,0.816,1652.1,1
Amsterdam,1,4.047,1.211,307.22,1
Amsterdam,2,7.448,2.462,354.09,1
Amsterdam,2,2.421,1.391,473.37,1
Amsterdam,1,0.732,0.306,436.34,1
Amsterdam,1,1.66,0.037,460.95,1
Amsterdam,3,8.15,3.312,553.04,1
Amsterdam,1,6.979,0.069,368.85,1
Amsterdam,0,0.502,0.275,634.12,1
Amsterdam,2,1.738,0.378,1044.69,1
Amsterdam,1,0.531,0.147,663.65,1
Amsterdam,1,2.473,0.335,270.43,1
Amsterdam,1,3.169,0.642,299.02,1
Amsterdam,1,2.754,1.704,550.47,1
Amsterdam,1,3.043,1.69,424.16,1
Amsterdam,2,7.495,3.317,474.07,1
Amsterdam,1,2.291,1.683,534.76,1
Amsterdam,2,0.938,0.909,1112.41,1
Amsterdam,1,7.105,0.197,243.25,1
Amsterdam,2,2.349,0.67,1170.06,1
Amsterdam,1,2.93,0.989,307.45,1
Amsterdam,1,4.753,0.291,352.68,1
Amsterdam,1,4.341,2.862,245.82,1
Amsterdam,1,0.643,0.705,321.98,1
Amsterdam,1,3.241,2.034,774.26,1
Amsterdam,2,1.611,1.152,860.26,1
Amsterdam,1,1.776,0.39,1030.16,1
Amsterdam,1,3.03,0.984,258.01,1
Amsterdam,1,2.296,0.375,582.8,1
Amsterdam,1,3.813,1.111,302.53,1
Amsterdam,2,4.894,0.831,688.02,1
Amsterdam,1,2.411,0.48,385.02,1
Amsterdam,0,1.129,0.741,518.59,1
Amsterdam,1,2.748,1.653,423.92,1
Amsterdam,1,1.762,1.684,1038.6,1
Amsterdam,3,1.96,0.248,1106.32,1
Amsterdam,1,2.135,0.47,395.8,1
Amsterdam,0,3.31,0.86,326.9,1
Amsterdam,1,1.353,1.13,614.44,1
Amsterdam,1,2.464,1.518,468.21,1
Amsterdam,1,6.325,1.964,258.01,1
Amsterdam,2,2.141,0.239,1751.46,1
Amsterdam,1,6.291,2.381,356.43,1
Amsterdam,2,1.893,0.33,1278.33,1
Amsterdam,0,2.011,0.401,321.98,1
Amsterdam,1,1.668,1.797,288.71,1
Amsterdam,1,2.293,1.71,304.88,1
Amsterdam,1,1.738,1.878,544.37,1
Amsterdam,1,3.192,1.234,442.67,1
Amsterdam,1,1.089,1.192,712.86,1
Amsterdam,1,1.869,0.839,356.43,1
Amsterdam,0,1.565,0.182,392.05,1
Amsterdam,1,3.549,2.437,264.34,1
Amsterdam,1,2.579,1.94,351.51,1
Amsterdam,3,4.052,0.684,491.88,1
Amsterdam,1,2.315,1.595,550.47,1
Amsterdam,1,1.476,1.44,553.04,1
Amsterdam,1,0.286,0.221,498.91,1
Amsterdam,2,0.364,0.226,1137.02,1
Amsterdam,0,8.396,3.35,268.09,1
Amsterdam,3,7.969,3.45,1210.6,1
Amsterdam,2,3.53,2.097,688.02,1
Amsterdam,1,2.159,0.463,1044.69,1
Amsterdam,1,3.551,1.394,485.55,1
Amsterdam,2,0.297,0.274,784.34,1
Amsterdam,3,0.317,0.258,1253.72,1
Amsterdam,4,0.167,0.24,1769.97,1
Amsterdam,1,0.37,0.265,348.93,1
Amsterdam,0,3.387,0.439,436.11,1
Amsterdam,1,2.056,0.583,724.35,1
Amsterdam,1,2.583,0.613,602.02,1
Amsterdam,2,2.203,0.481,817.14,1
Amsterdam,4,1.143,0.435,1161.39,1
Amsterdam,1,1.661,1.733,393.46,1
Amsterdam,2,4.146,0.166,381.04,1
Amsterdam,1,0.343,0.27,498.91,1
Amsterdam,1,1.748,1.84,765.82,1
Amsterdam,2,1.341,1.37,784.34,1
Amsterdam,1,1.222,0.633,675.84,1
Amsterdam,1,1.645,1.273,467.04,1
Amsterdam,1,0.29,0.449,442.67,1
Amsterdam,2,1.367,1.108,1263.33,1
Amsterdam,1,1.375,0.886,371.19,1
Amsterdam,2,3.614,0.433,918.14,1
Amsterdam,3,2.581,0.824,1189.75,1
Amsterdam,2,3.047,1.388,548.12,1
Amsterdam,2,1.785,0.825,642.56,1
Amsterdam,1,0.903,1.053,457.2,1
Amsterdam,1,1.541,0.3,737.23,1
Amsterdam,2,2.563,0.373,817.14,1
Amsterdam,1,11.038,0.617,218.64,1
Amsterdam,4,1.337,0.375,2062.66,1
Amsterdam,1,2.771,1.637,282.85,1
Amsterdam,3,2.229,0.429,1069.29,1
Amsterdam,1,3.109,2.031,669.74,1
Amsterdam,1,1.662,1.766,393.46,1
Amsterdam,1,2.644,0.467,636.94,1
Amsterdam,2,2.107,0.565,1044.92,1
Amsterdam,1,2.581,0.824,612.1,1
Amsterdam,1,7.257,0.348,243.25,1
Amsterdam,2,3.823,0.712,526.09,1
Amsterdam,0,0.936,0.661,476.88,1
Amsterdam,0,0.972,0.63,678.41,1
Amsterdam,1,1.209,1.092,438.92,1
Amsterdam,2,2.364,0.199,596.4,1
Amsterdam,1,1.182,0.442,425.09,1
Amsterdam,2,0.745,0.456,1032.5,1
Amsterdam,1,3.147,1.537,417.83,1
Amsterdam,2,3.564,1.358,602.02,1
Amsterdam,1,4.593,0.723,280.27,1
Amsterdam,0,2.515,1.013,596.16,1
Amsterdam,3,0.97,0.943,1269.89,1
Amsterdam,1,4.594,0.105,362.52,1
Amsterdam,1,6.839,2.026,319.64,1
Amsterdam,2,2.093,1.506,983.29,1
Amsterdam,1,0.534,0.322,626.63,1
Amsterdam,2,1.389,1.421,663.65,1
Amsterdam,2,2.153,1.491,860.26,1
Amsterdam,3,3.297,1.227,765.82,1
Amsterdam,1,3.224,0.996,560.31,1
Amsterdam,1,1.263,0.724,540.62,1
Amsterdam,1,3.488,1.965,307.22,1
Amsterdam,2,3.084,0.532,694.35,1
Amsterdam,2,3.164,0.477,653.81,1
Amsterdam,2,3.15,0.54,651.23,1
Amsterdam,2,2.943,1.482,409.63,1
Amsterdam,2,2.499,1.315,362.76,1
Amsterdam,1,2.709,1.241,392.05,1
Amsterdam,1,3.717,0.533,326.9,1
Amsterdam,2,0.367,0.271,489.3,1
Amsterdam,2,2.307,0.701,737.23,1
Amsterdam,1,0.505,0.338,737.23,1
Amsterdam,2,2.793,1.05,700.44,1
Amsterdam,1,2.812,1.06,300.89,1
Amsterdam,3,2.956,1.645,747.55,1
Amsterdam,1,2.899,1.608,308.63,1
Amsterdam,2,10.73,0.504,678.65,1
Amsterdam,0,1.078,0.939,430.25,1
Amsterdam,1,0.336,0.564,482.98,1
Amsterdam,2,1.995,0.269,1665.69,1
Amsterdam,2,2.819,1.321,657.56,1
Amsterdam,1,2.123,0.503,841.98,1
Amsterdam,2,3.575,0.769,546.72,1
Amsterdam,3,1.406,0.67,1179.9,1
Amsterdam,2,3.544,0.44,602.25,1
Amsterdam,1,2.759,0.855,358.77,1
Amsterdam,1,6.763,3.934,332.06,1
Amsterdam,1,2.496,0.976,953.76,1
Amsterdam,1,7.326,3.514,393.46,1
Amsterdam,3,3.705,2.291,753.4,1
Amsterdam,2,3.434,0.29,762.07,1
Amsterdam,2,3.85,1.0,553.04,1
Amsterdam,2,1.976,0.354,1167.48,1
Amsterdam,2,1.092,0.565,860.26,1
Amsterdam,1,3.011,0.897,276.52,1
Amsterdam,2,0.527,0.224,1450.33,1
Amsterdam,0,0.898,0.718,528.2,1
Amsterdam,3,1.435,0.558,2175.61,1
Amsterdam,2,11.038,0.627,491.65,1
Amsterdam,0,0.949,0.773,454.85,1
Amsterdam,1,3.911,0.933,718.96,1
Amsterdam,1,1.627,0.574,374.94,1
Amsterdam,1,1.094,0.614,368.62,1
Amsterdam,3,1.474,1.22,798.63,1
Amsterdam,2,2.411,0.252,560.54,1
Amsterdam,1,3.608,0.75,368.85,1
Amsterdam,1,1.492,1.504,370.02,1
Amsterdam,1,1.201,0.495,368.62,1
Amsterdam,1,7.028,3.594,371.19,1
Amsterdam,2,2.621,0.817,342.84,1
Amsterdam,1,3.435,1.92,467.04,1
Amsterdam,1,5.304,0.42,319.64,1
Amsterdam,1,2.477,1.436,344.25,1
Amsterdam,1,1.578,0.317,743.8,1
Amsterdam,0,0.843,0.889,596.4,1
Amsterdam,2,2.34,0.608,796.52,1
Amsterdam,1,0.68,0.449,300.89,1
Amsterdam,1,1.622,0.503,350.34,1
Amsterdam,0,0.139,0.197,1567.27,1
Amsterdam,1,3.838,2.813,614.44,1
Amsterdam,1,1.063,1.196,498.91,1
Amsterdam,2,1.237,1.052,1086.64,1
Amsterdam,2,0.787,0.101,614.44,1
